bones	brain	embryo	gills	heart	intestine	kidney	liver	muscle	ovary	testis
ENSLOCG00000000837	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000853	0.0302033504929235	1.72539726092793	0.0321247821711121	0	0.216345119210726	0	0	0.0292839146048614	0	0.196102605989965	0.856946657192546
ENSLOCG00000000878	8.97084438855773	0.673260924983977	3.63210120591299	2.00316868001636	1.8751163547218	2.44923153263077	3.62801246733236	1.06070222593502	0.321997877127034	0.253682017063344	2.24175932375945
ENSLOCG00000000908	0.87198508294554	3.67257204300921	4.94644121951925	0.418270738259201	3.08994565793182	0.981422847946445	0.512655394900052	0.281813510631023	0.145899669756689	2.24665691792247	100.794455500058
ENSLOCG00000000928	1.41302326995465	2.29454263563061	2.78906318267944	0.622959237454319	1.6382420817004	0.83773332608391	0.760707856579545	0.474233778793157	0.156239319370272	9.1743975764375	7.16728368182112
ENSLOCG00000000979	0.456713925561597	4.85415782898601	0.70552087383378	0	0.279109200274068	0	0.1217662372865	0	0	0.010086144038563	0.194257943678487
ENSLOCG00000001021	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000019818	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000001046	7.10800347763665	6.66736072383837	6.32462482990941	9.67216441038496	6.00041547691005	7.59991433434238	8.03467993441008	5.60920291284275	9.80939630940909	6.39022546401965	11.3248810684894
ENSLOCG00000001061	11.4946187514835	2.24360642308993	22.4007701941589	2.37473010031304	7.24993908898836	5.76459063252431	7.59299510077418	2.61014334865762	0.875926908167033	94.7470711274762	73.6053283848063
ENSLOCG00000001115	0.805107560858319	1.9268299071922	3.45701853508113	0.279655670221084	1.49513414745789	1.01121300981699	0.436644136669113	0.289110690077703	4.14334656560779	11.7546383965603	4.88820759857574
ENSLOCG00000001128	13.224308133295	8.1443031068545	8.95182278102881	3.0765694013744	6.92080460527484	8.13278174492996	3.44378814809731	2.8824066885095	11.7295322617844	14.0250840488081	11.0957171385386
ENSLOCG00000001150	3.50779896647991	0.661531515770235	4.94692322288388	1.56905726272471	2.49331185196546	2.59609642956336	0.686923949387153	0.508259977923089	6.26332257898604	0.0362086466660706	9.12446827142615
ENSLOCG00000001225	0	0	0	0	0	0	0	0	0	0	0.778645748988444
ENSLOCG00000017468	0	0	0.112587984219284	0.110305699595468	0	0	0	0	0	0	0.88988085598679
ENSLOCG00000021312	0.314013604845423	0	0	0	0	0	0.405721753674636	0	0	0	0
ENSLOCG00000001249	15.2518961670411	4.70774814992575	5.11960127481849	4.0215607999715	2.1421291116986	2.04880663711376	0.0735993857692017	0.110458302669667	0.300227291047334	0.805739039943062	0.793131395048021
ENSLOCG00000001267	2.91638370463494	5.37433657864276	4.12554542174947	1.46886671400088	2.1818354135829	2.77719753851765	0.569404495068335	1.18759391214727	6.21358666039178	6.63638273988321	3.2485191451967
ENSLOCG00000001328	2.34114326944617	1.43542376215634	2.300252006315	0.251618137683873	6.27916049347625	0.895446799622582	0.280332463098064	0.173039821881584	0.27163142408075	0.214227890881081	0.706054141993257
ENSLOCG00000019075	0	0	0	0	0	0.485392544819207	0	0	0	0	0.496351611900196
ENSLOCG00000001347	211.73252683408	322.604792360373	183.398207557438	196.709066391377	115.117879557067	146.50339194859	202.158574854349	141.092175757582	77.6228460599453	138.635414852099	153.067870771608
ENSLOCG00000001362	10.3256977379985	6.96651231000434	15.7653201369455	17.3547634030203	11.4820764990887	27.3833305284673	14.2020645864064	3.95610502059659	2.15454021411606	14.3661656408472	6.03784160787039
ENSLOCG00000001380	3.43544108721745	4.06438629267582	2.08799534370308	1.59441874869813	3.92899181827018	3.88638129490838	3.13324719478779	2.32320559918372	0.608627179128829	0.214217888178047	2.82132680477631
